PCON25NM,Fatal,Serious,Slight,Total,Slight_Proportion,Serious_Proportion,Fatal_Proportion
Bolton North East,3,29,64,96,0.8684898929845422,1.383894751082251,2.216441355674029
Bolton South and Walkden,1,34,87,122,0.928999434708875,1.2767191824568873,0.5813616670620404
Bolton West,3,23,61,87,0.9134117840009841,1.2111135990446336,2.445728392467894
Bootle,3,24,106,133,1.0382698720642272,0.8266770823161801,1.5998373695090735
Boston and Skegness,9,46,263,318,1.0774190653534652,0.6626847994772523,2.0073431145727056
Bournemouth East,2,22,137,161,1.1085383416666053,0.6259982253771075,0.8810698556716636
Bournemouth West,0,36,170,206,1.075072440344943,0.800592611272223,0.0
Bracknell,0,14,50,64,1.0177615933412605,1.0021306818181819,0.0
Bradford East,4,69,156,229,0.8874525544034187,1.3803521805705212,1.238884251206444
Bradford South,2,57,118,177,0.8684898929845422,1.4752916574950472,0.8014251229555811
Bradford West,2,101,242,345,0.9138024091402575,1.3411537737624695,0.41116593264677637
Braintree,1,37,79,117,0.8796243787920364,1.4487456987456988,0.6062061827484524
"Brecon, Radnor and Cwm Tawe",9,75,107,191,0.7298043341571676,1.7988882844903789,3.3420686410163367
Brent East,0,36,338,374,1.1773379030565851,0.4409681227863046,0.0
Brent West,2,30,236,268,1.1471844108825668,0.5128174064741229,0.5292994282206636
Brentford and Isleworth,1,39,145,185,1.0210624417520968,0.9657599157599158,0.3833844507111834
Brentwood and Ongar,4,42,159,205,1.0104138511064065,0.9385809312638581,1.3839243586647596
Bridgend,1,6,43,50,1.1203519619500595,0.5497402597402598,1.4185224676313786
Bridgwater,1,26,88,115,0.9968753554257355,1.0357425183512141,0.6167488989701646
Bridlington and The Wolds,4,45,119,168,0.9227705112960761,1.2270987940630798,1.6887172233706886
Brigg and Immingham,8,36,115,159,0.9422296008794561,1.0372457730948297,3.5686099814625876
Brighton Kemptown and Peacehaven,0,54,132,186,0.924521498983545,1.3300167574361124,0.0
Brighton Pavilion,1,62,196,259,0.9858533920365075,1.096650453793311,0.2738460362222738
Bristol Central,0,18,130,148,1.1442941157566604,0.5571691821691822,0.0
Bristol East,2,21,187,210,1.1600543570579243,0.45811688311688314,0.6754868893482755
Bristol North East,0,12,113,125,1.1776722948870393,0.43979220779220785,0.0
Bristol North West,1,22,117,140,1.0887141158484797,0.7198979591836735,0.5066151670112066
Bristol South,2,21,131,154,1.1081705452692372,0.6247048406139315,0.9211184854749211
Broadland and Fakenham,5,48,99,152,0.8484917704487139,1.446684894053315,2.3330961638673986
Bromley and Biggin Hill,1,34,140,175,1.0421878715814508,0.8900556586270872,0.40529213360896527
Bromsgrove,4,40,92,136,0.8812618031754914,1.3474025974025976,2.086062452399086
Broxbourne,0,32,144,176,1.0658739595719382,0.8329397874852421,0.0
Broxtowe,4,27,82,113,0.9453474056380415,1.0946155614297208,2.5106592347458028
Buckingham and Bletchley,1,21,59,81,0.9489056238164443,1.1877104377104377,0.8756311528588756
Burnley,3,44,150,197,0.9919300808199085,1.0232052211747644,1.0800932494655167
Burton and Uttoxeter,6,25,49,80,0.7979250891795482,1.4316152597402598,5.319459253617669
Bury North,1,13,62,76,1.062757369046874,0.783620984278879,0.9332384655469594
Bury South,3,27,66,96,0.8956302021403092,1.2884537337662338,2.216441355674029
Bury St Edmunds and Stowmarket,4,30,74,108,0.8926146122341129,1.2725468975468976,2.626893458576627
Caerfyrddin,2,65,102,169,0.7862659977907394,1.7619880119880122,0.8393624068824724
Caerphilly,7,21,52,80,0.8467776456599286,1.2025568181818183,6.2060357958872805
Calder Valley,6,57,113,176,0.8364149821640904,1.4836739964580874,2.417936024371668
Camborne and Redruth,2,39,112,153,0.9536359609242031,1.1677489177489178,0.9271388677329272
Cambridge,0,36,102,138,0.9628909683089489,1.1950875211744778,0.0
Cannock Chase,3,14,44,61,0.9396775891308162,1.0514157973174367,3.488170002372242
Canterbury,4,44,158,206,0.9991849739676529,0.978502080443828,1.3772062792537654
Cardiff East,1,11,80,92,1.1328129038928811,0.547748447204969,0.7709361237127057
Cardiff North,0,4,41,45,1.1869361870788744,0.40721500721500725,0.0
Cardiff South and Penarth,1,11,64,76,1.0970398648225796,0.6630639097744362,0.9332384655469594
Cardiff West,2,14,68,84,1.0545948700526584,0.7635281385281385,1.6887172233706886
Carlisle,3,47,122,172,0.9240328512568095,1.2518310178193899,1.2370835473529465
Carshalton and Wallington,1,29,156,186,1.0926163169805532,0.7142682586230974,0.38132324398692974
Castle Point,3,26,80,109,0.9561356620013309,1.0927558679852258,1.952095138942264
Central Devon,3,39,134,176,0.9918549346016646,1.0151453659976388,1.208968012185834
Central Suffolk and North Ipswich,2,35,65,102,0.8301741624116947,1.571969696969697,1.3907083015993906
Ceredigion Preseli,1,63,110,174,0.8235680019681004,1.6586990595611286,0.407621398744649
Chatham and Aylesford,2,37,128,167,0.9985033500181564,1.0149895015164476,0.8494146512762746
Cheadle,2,14,50,66,0.9869203329369798,0.9717630853994491,2.1492764661081494
Chelmsford,0,30,110,140,1.023577373874639,0.9816790352504638,0.0
Chelsea and Fulham,1,83,387,471,1.0703999636465538,0.8072972674883503,0.15058624921776842
Cheltenham,1,32,94,127,0.9642289363056729,1.1543102566724615,0.5584734124532986
Chesham and Amersham,0,26,58,84,0.8995073891625616,1.4179808286951145,0.0
Chester North and Neston,3,19,88,110,1.0421878715814508,0.79129279811098,1.9343488194973342
Chester South and Eddisbury,4,34,101,139,0.9465915020658859,1.1205736709333833,2.0410395217717676
Chesterfield,0,30,121,151,1.0439133481900291,0.9101659929474499,0.0
Chichester,3,54,161,218,0.9621115098888392,1.1347849398308114,0.976047569471132
Chingford and Woodford Green,5,24,190,219,1.1302265730620753,0.5020458993061733,1.619317885423948
Chippenham,6,17,94,117,1.0466416659044484,0.6656399156399158,3.637237096490714
Chipping Barnet,3,32,172,207,1.0824656637198642,0.7082000125478386,1.0279148316169409
